id,scenario,a1_true,a1_lsq,a1_ridge,a2_true,a2_lsq,a2_ridge,a3_true,a3_lsq,a3_ridge,a4_true,a4_lsq,a4_ridge,a5_true,a5_lsq,a5_ridge,a6_true,a6_lsq,a6_ridge,a7_true,a7_lsq,a7_ridge,a8_true,a8_lsq,a8_ridge,a9_true,a9_lsq,a9_ridge
W_13,drift,499.0642,498.5476,498.0646,0.6933,3.1853,3.1805,-0.5579,0.2814,0.2809,-2.9583,-2.124,-1.978,0.1466,1.3609,1.3604,0.2134,-0.1933,-0.1932,0.2533,-0.1881,-0.1878,-0.2239,-1.8459,-1.843,-0.1086,1.1097,1.1093
W_14,drift,498.9099,498.2829,497.8004,0.6737,0.0468,0.0466,-0.2378,1.621,1.6186,-2.6457,-1.5068,-1.3611,0.105,0.1453,0.1453,0.4057,-1.6754,-1.6748,0.4192,-0.8296,-0.8282,-0.2711,-0.3574,-0.3572,-0.0011,-0.177,-0.177
W_15,drift,499.1039,500.8916,500.4059,0.7869,-0.9618,-0.961,-0.3668,0.4975,0.4965,-2.7743,-3.4665,-3.3193,-0.1028,-1.3119,-1.3114,0.3741,-1.518,-1.5175,-0.5546,-0.5048,-0.5042,-0.0952,-0.5131,-0.5133,0.4732,0.9666,0.9663
W_16,drift,498.6605,497.6598,497.1775,0.3097,1.7364,1.734,-0.3046,0.6671,0.6666,-2.7927,-2.7332,-2.5872,0.0716,1.0589,1.0585,0.5717,0.2669,0.2668,-0.202,0.5619,0.562,-0.5524,-0.6323,-0.6309,0.0813,0.707,0.7068
W_17,drift,499.12,498.2736,497.7908,0.1353,0.3808,0.3794,-0.5146,1.0815,1.0802,-3.2066,-2.3068,-2.1608,0.1867,-0.22,-0.2199,0.0875,0.0156,0.0156,0.0085,-0.1857,-0.185,-0.4715,-1.7439,-1.7428,-0.1041,-0.6711,-0.671
W_18,drift,498.6653,499.1213,498.6376,0.2952,2.6999,2.6977,-0.0896,-1.5543,-1.5521,-3.1794,-2.5111,-2.3648,0.2974,0.4851,0.4849,0.1069,1.008,1.0076,-0.1484,0.6763,0.675,0.2556,1.5542,1.5549,-0.11,0.7121,0.712
W_19,drift,498.1347,494.0194,493.5408,0.5374,-0.2502,-0.2499,-0.3991,-2.3572,-2.354,-2.6597,-2.1179,-1.9733,-0.2953,1.8018,1.801,0.2071,0.2192,0.2191,-0.0173,0.7485,0.7467,-0.1248,0.1144,0.1142,0.1851,-1.4883,-1.4877
W_20,drift,497.5334,499.8721,499.3869,0.3424,3.7136,3.7078,-0.3109,-1.5489,-1.5465,-3.7749,-5.2999,-5.1522,-0.206,-0.5968,-0.5966,-0.0417,1.5981,1.5974,-0.1756,1.1337,1.1322,-0.0182,-2.6952,-2.6916,-0.154,0.3784,0.3784
W_21,drift,498.2626,498.2643,497.7811,0.5641,1.4015,1.4,-0.4365,-0.3874,-0.3868,-4.0865,-3.6873,-3.5407,0.1746,-0.0919,-0.0919,0.5767,0.5464,0.5462,-0.0326,0.2697,0.2693,0.0206,0.1033,0.1041,0.1484,0.4543,0.4542
W_22,drift,497.1817,498.7712,498.2873,0.6445,3.5636,3.5584,-0.3457,1.2899,1.2879,-3.3295,-4.4348,-4.2878,0.2123,1.71,1.7093,0.2074,1.7123,1.7116,-0.1709,-1.0836,-1.0823,-0.2812,-1.8923,-1.8892,0.178,-0.984,-0.9838
W_23,drift,498.2758,497.4543,496.9717,0.5557,0.6358,0.635,-0.5606,-0.3906,-0.3906,-3.863,-4.4426,-4.2959,-0.0118,1.9087,1.9079,0.0833,1.7023,1.7016,-0.2453,-0.4926,-0.4925,-0.0322,-0.2072,-0.2067,0.1812,1.9941,1.9934
W_24,drift,497.6402,499.1984,498.7144,0.7679,0.6179,0.6164,-0.2726,-2.5648,-2.5613,-3.8802,-3.4371,-3.2903,0.4443,-0.0968,-0.0968,-0.0771,0.3371,0.337,0.5879,0.9394,0.9374,-0.0507,-1.3696,-1.3684,-0.2518,-0.1848,-0.1846
W_25,drift,496.843,499.5529,499.0684,0.6661,1.5092,1.5068,-0.1523,-0.1855,-0.1861,-3.5427,-4.0016,-3.8545,0.207,-0.0187,-0.0187,-0.0401,-0.3553,-0.3551,-0.0433,-1.2546,-1.254,-0.4769,-1.0301,-1.0286,-0.1891,0.2812,0.281
W_26,drift,497.39,495.6682,495.1874,0.9616,1.7924,1.7909,-0.0597,0.5848,0.584,-4.4842,-4.0506,-3.9047,-0.1418,-0.0792,-0.0792,0.3326,1.4453,1.4447,0.0991,-0.204,-0.2035,-0.0396,1.021,1.0215,0.1063,0.2835,0.2834
W_27,drift,496.8703,496.9887,496.5066,0.599,1.8771,1.8752,-0.2141,-3.088,-3.0837,-4.0226,-4.1515,-4.0051,0.1583,0.2897,0.2896,0.2625,1.4198,1.4192,0.1876,1.3571,1.3546,0.1526,0.4695,0.4703,-0.2413,2.0243,2.0238
W_28,drift,496.5403,498.0154,497.5322,0.8102,-1.1076,-1.1058,-0.1905,0.1904,0.1897,-3.6656,-4.6653,-4.5184,0.0436,0.9932,0.9928,0.363,0.2671,0.2669,0.1355,-0.7082,-0.7077,-0.31,0.8984,0.8972,0.0132,1.0856,1.0852
W_29,drift,496.1393,497.64,497.1577,0.5063,2.6521,2.648,0.0441,-1.1067,-1.1051,-4.3381,-2.848,-2.7019,-0.3233,-0.3673,-0.3671,0.1287,-0.6567,-0.6564,0.1365,0.6718,0.6708,0.1335,-1.8858,-1.8832,0.1702,0.7745,0.7744
W_30,drift,496.1525,494.9607,494.4803,0.4075,0.7799,0.7777,-0.0379,-2.8184,-2.8147,-4.3388,-5.3297,-5.1834,0.0724,0.8279,0.8275,0.2036,0.3906,0.3904,0.0382,0.8136,0.8115,-0.2619,-2.1779,-2.1763,0.1035,0.5724,0.5724
W_31,drift,495.9578,495.1195,494.6395,0.3549,0.4933,0.4933,-0.0603,-1.1504,-1.1488,-4.3451,-2.9936,-2.8482,0.1076,-0.2856,-0.2855,0.5862,0.1497,0.1496,-0.4468,0.5422,0.5413,0.2745,0.9342,0.934,0.172,0.3616,0.3615
W_32,drift,496.367,495.0064,494.5259,0.2144,0.5866,0.5856,-0.2575,-3.128,-3.1243,-3.8378,-5.5299,-5.3835,0.3494,1.1607,1.1602,0.3214,-0.1296,-0.1295,-0.0757,-0.0061,-0.008,0.1296,-0.564,-0.5634,-0.083,-0.9849,-0.9845
W_33,drift,495.9637,497.6929,497.2094,0.7109,0.0626,0.0624,-0.2376,-1.5284,-1.5273,-4.7986,-6.889,-6.7413,0.6033,1.8693,1.8686,0.3694,0.0244,0.0244,-0.2967,-1.0817,-1.0819,0.1605,-0.1844,-0.1843,-0.2178,0.9141,0.9139
W_34,drift,495.8395,494.2906,493.8111,0.2819,-0.0913,-0.0906,-0.4011,1.3249,1.3222,-4.6577,-4.3627,-4.217,-0.0348,0.2532,0.2531,0.2282,0.7266,0.7263,-0.0147,-2.1496,-2.1476,-0.0208,1.0581,1.0575,0.3413,-0.2685,-0.2686
W_35,drift,496.017,497.8977,497.4149,0.7195,3.4098,3.4046,0.0725,-2.2312,-2.2283,-4.6701,-3.8147,-3.6682,0.3796,1.9765,1.9757,-0.011,-1.2867,-1.2862,0.1056,0.6626,0.6609,0.1548,-2.2492,-2.246,0.1927,0.6177,0.6176
W_36,drift,495.5936,495.0805,494.5997,0.3228,2.5042,2.5013,-0.3737,-2.9108,-2.9076,-4.8784,-6.0488,-5.9021,-0.1333,-0.7237,-0.7234,0.4548,1.2594,1.2589,-0.1039,-0.2539,-0.2554,-0.1865,0.0398,0.0412,0.0591,-0.7391,-0.7387
